Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADC (bx=8, bw=8, ba=8, k=4)",1,0.7455,75.09%,0.4952,82.06%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",2,0.4328,84.36%,0.4410,83.60%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",3,0.3900,85.85%,0.4191,84.77%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",4,0.3662,86.53%,0.3981,85.37%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",5,0.3479,87.17%,0.4012,86.00%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",6,0.3408,87.26%,0.4023,85.10%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",7,0.3248,87.78%,0.3813,86.25%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",8,0.3213,87.77%,0.3772,86.38%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",9,0.3111,88.21%,0.3978,86.48%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",10,0.3115,88.11%,0.3743,86.00%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",11,0.3051,88.31%,0.3716,86.89%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",12,0.2987,88.39%,0.3766,86.32%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",13,0.3003,88.41%,0.3998,86.38%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",14,0.2960,88.36%,0.3827,86.61%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",15,0.2944,88.40%,0.3933,85.66%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",16,0.2962,88.29%,0.3962,84.73%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",17,0.3049,87.74%,0.4098,86.08%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",18,0.3054,87.78%,0.4083,85.12%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",19,0.3037,87.74%,0.4135,85.42%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",20,0.2966,88.19%,0.4057,85.94%,"bx=8, bw=8, ba=8, k=4"
