Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
MLP (Baseline),1,0.7366,74.54%,0.4846,82.33%,Epochs=20
MLP (Baseline),2,0.4256,84.76%,0.4290,84.73%,Epochs=20
MLP (Baseline),3,0.3820,86.20%,0.3981,85.93%,Epochs=20
MLP (Baseline),4,0.3448,87.50%,0.3826,86.12%,Epochs=20
MLP (Baseline),5,0.3238,88.30%,0.3610,87.27%,Epochs=20
MLP (Baseline),6,0.3051,88.93%,0.3668,87.29%,Epochs=20
MLP (Baseline),7,0.2901,89.32%,0.3542,87.28%,Epochs=20
MLP (Baseline),8,0.2807,89.75%,0.3528,87.37%,Epochs=20
MLP (Baseline),9,0.2664,90.25%,0.3361,88.10%,Epochs=20
MLP (Baseline),10,0.2556,90.63%,0.3538,87.18%,Epochs=20
MLP (Baseline),11,0.2478,90.86%,0.3310,88.32%,Epochs=20
MLP (Baseline),12,0.2367,91.30%,0.3394,88.15%,Epochs=20
MLP (Baseline),13,0.2299,91.51%,0.3305,88.38%,Epochs=20
MLP (Baseline),14,0.2182,91.95%,0.3215,88.56%,Epochs=20
MLP (Baseline),15,0.2110,92.27%,0.3251,88.82%,Epochs=20
MLP (Baseline),16,0.2037,92.55%,0.3278,88.76%,Epochs=20
MLP (Baseline),17,0.2010,92.61%,0.3243,88.97%,Epochs=20
MLP (Baseline),18,0.1943,92.77%,0.3248,88.90%,Epochs=20
MLP (Baseline),19,0.1868,93.13%,0.3374,88.62%,Epochs=20
MLP (Baseline),20,0.1885,92.94%,0.3270,88.93%,Epochs=20
"MLPADC (bx=8, bw=8, ba=8, k=4)",1,0.9743,68.27%,0.6806,75.67%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",2,0.6829,74.66%,0.7944,71.49%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",3,0.9431,67.47%,1.0890,66.20%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",4,1.2600,63.80%,1.5060,63.75%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",5,2.0692,60.21%,3.0195,61.15%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",6,4.3355,60.48%,5.5922,60.41%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",7,8.0835,61.52%,11.2363,62.24%,"bx=8, bw=8, ba=8, k=4"
