Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
MLP (Baseline),1,0.7343,75.64%,0.4902,82.13%,Epochs=20
MLP (Baseline),2,0.4298,84.58%,0.4315,84.51%,Epochs=20
MLP (Baseline),3,0.3786,86.44%,0.3975,85.94%,Epochs=20
MLP (Baseline),4,0.3487,87.38%,0.3781,86.50%,Epochs=20
MLP (Baseline),5,0.3261,88.20%,0.3706,86.51%,Epochs=20
MLP (Baseline),6,0.3086,88.67%,0.3561,87.03%,Epochs=20
MLP (Baseline),7,0.2919,89.38%,0.3499,87.26%,Epochs=20
MLP (Baseline),8,0.2773,89.90%,0.3474,87.77%,Epochs=20
MLP (Baseline),9,0.2701,90.12%,0.3349,88.05%,Epochs=20
MLP (Baseline),10,0.2556,90.58%,0.3393,87.84%,Epochs=20
MLP (Baseline),11,0.2504,90.71%,0.3306,88.04%,Epochs=20
MLP (Baseline),12,0.2398,91.14%,0.3413,88.03%,Epochs=20
MLP (Baseline),13,0.2336,91.36%,0.3299,88.28%,Epochs=20
MLP (Baseline),14,0.2200,91.96%,0.3361,88.28%,Epochs=20
MLP (Baseline),15,0.2167,91.96%,0.3323,88.43%,Epochs=20
MLP (Baseline),16,0.2097,92.31%,0.3430,88.06%,Epochs=20
MLP (Baseline),17,0.1995,92.62%,0.3262,88.68%,Epochs=20
MLP (Baseline),18,0.1930,92.96%,0.3269,88.75%,Epochs=20
MLP (Baseline),19,0.1839,93.18%,0.3353,88.45%,Epochs=20
MLP (Baseline),20,0.1805,93.36%,0.3317,88.74%,Epochs=20
"MLPADC (bx=4, bw=4, ba=8, k=4)",1,0.7736,73.68%,0.5356,80.57%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",2,0.4594,83.35%,0.4753,83.25%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",3,0.4035,85.20%,0.4141,84.78%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",4,0.3751,86.29%,0.4048,85.80%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",5,0.3659,86.39%,0.4010,85.87%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",6,0.3479,87.00%,0.3996,85.60%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",7,0.3373,87.39%,0.4018,85.63%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",8,0.3442,87.06%,0.4194,84.87%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",9,0.3386,87.42%,0.4087,85.32%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",10,0.3393,87.09%,0.4128,84.77%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",11,0.3486,86.75%,0.4251,84.87%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",12,0.3356,87.22%,0.4119,85.15%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",13,0.3386,86.97%,0.4172,84.84%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",14,0.3320,87.02%,0.4101,84.93%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",15,0.3458,86.48%,0.4204,84.06%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",16,0.3524,86.00%,0.4300,83.78%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",17,0.3702,85.16%,0.4850,82.69%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",18,0.3995,84.67%,0.5082,82.92%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",19,0.4082,84.69%,0.5141,81.89%,"bx=4, bw=4, ba=8, k=4"
"MLPADC (bx=4, bw=4, ba=8, k=4)",20,0.4056,84.77%,0.5282,82.68%,"bx=4, bw=4, ba=8, k=4"
"MLPQuant (bx=4, bw=4)",1,0.7464,74.59%,0.4967,81.85%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",2,0.4437,84.01%,0.4667,82.74%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",3,0.3935,85.76%,0.4226,84.81%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",4,0.3699,86.62%,0.4044,85.03%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",5,0.3443,87.39%,0.3805,86.53%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",6,0.3245,88.23%,0.3887,86.21%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",7,0.3121,88.44%,0.3718,86.49%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",8,0.3026,88.83%,0.3704,86.68%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",9,0.2921,89.28%,0.3598,87.01%,"bx=4, bw=4"
