Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (ADC),1,1.8134,32.36%,1.6686,38.35%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),2,1.5098,44.68%,1.6841,39.72%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),3,1.4216,47.63%,1.3706,48.67%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),4,1.2931,52.32%,1.3049,52.22%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),5,1.1947,56.41%,1.1866,57.16%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),6,1.1224,59.00%,1.3345,52.27%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),7,1.0677,60.99%,1.2076,56.20%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),8,1.0180,63.07%,1.1110,60.02%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),9,0.9791,64.27%,1.0592,60.43%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),10,0.9727,64.18%,1.1471,59.68%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),11,0.9403,65.52%,1.0059,62.82%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),12,0.9225,66.01%,0.9861,63.58%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),13,0.9140,65.98%,1.0653,63.44%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),14,0.9083,66.22%,1.0081,62.38%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),15,0.8985,66.50%,1.0211,61.99%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),16,0.8715,67.46%,1.0600,63.28%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),17,0.8533,68.28%,0.9560,66.09%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),18,0.8531,68.27%,0.9446,66.28%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),19,0.8336,68.91%,0.9472,66.02%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),20,0.8215,69.29%,0.9925,64.72%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),21,0.8079,69.73%,0.9385,66.50%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),22,0.7968,70.33%,0.9746,65.69%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),23,0.7942,70.39%,0.9169,66.50%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),24,0.7907,70.50%,0.8922,66.70%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),25,0.7740,70.90%,0.8987,66.47%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),26,1.8061,41.40%,2.4076,20.79%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),27,2.1614,23.38%,2.1000,23.54%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),28,2.0702,24.24%,2.0569,24.56%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),29,2.0254,25.19%,2.0263,24.90%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),30,2.0075,25.86%,2.0034,25.33%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),31,1.9965,26.52%,2.0024,26.67%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),32,1.9944,27.02%,2.0225,27.21%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),33,2.0068,27.49%,2.0346,27.80%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),34,2.0204,27.74%,2.0318,28.74%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),35,2.0354,28.06%,2.0665,28.42%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),36,2.0474,28.56%,2.0661,28.73%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),37,2.0650,28.89%,2.0768,28.57%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),38,2.0835,29.04%,2.0956,29.45%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),39,2.0836,29.35%,2.1007,29.99%,"bx=8, bw=8, ba=8, k=4"
ResNet18 (ADC),40,2.1039,29.37%,2.1360,29.31%,"bx=8, bw=8, ba=8, k=4"
