Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (Baseline),1,1.7137,36.50%,1.5310,43.27%,
ResNet18 (Baseline),2,1.4349,47.77%,1.3635,49.91%,
ResNet18 (Baseline),3,1.1907,57.16%,1.1506,60.01%,
ResNet18 (Baseline),4,0.9903,64.89%,1.0533,63.74%,
ResNet18 (Baseline),5,0.8081,71.58%,0.7401,74.22%,
ResNet18 (Baseline),6,0.6755,76.46%,0.6689,76.65%,
ResNet18 (Baseline),7,0.6006,79.24%,0.6616,77.46%,
ResNet18 (Baseline),8,0.5574,80.89%,0.7696,74.50%,
ResNet18 (Baseline),9,0.5192,82.07%,0.5543,81.31%,
ResNet18 (Baseline),10,0.5031,82.70%,0.6295,78.38%,
ResNet18 (Baseline),11,0.4811,83.48%,0.5662,80.68%,
ResNet18 (Baseline),12,0.4644,83.86%,0.5711,80.82%,
ResNet18 (Baseline),13,0.4473,84.68%,0.5583,80.57%,
ResNet18 (Baseline),14,0.4369,84.97%,0.5670,80.94%,
ResNet18 (Baseline),15,0.4261,85.30%,0.6962,77.24%,
ResNet18 (Baseline),16,0.4168,85.63%,0.5678,81.39%,
ResNet18 (Baseline),17,0.4050,86.14%,0.5784,81.00%,
ResNet18 (Baseline),18,0.4039,86.20%,0.4868,83.16%,
ResNet18 (Baseline),19,0.3970,86.44%,0.4782,84.07%,
ResNet18 (Baseline),20,0.3875,86.65%,0.5664,82.15%,
ResNet18 (Baseline),21,0.3861,86.80%,0.5048,82.78%,
ResNet18 (Baseline),22,0.3774,87.04%,0.4483,84.94%,
ResNet18 (Baseline),23,0.3732,87.19%,0.5205,82.70%,
ResNet18 (Baseline),24,0.3683,87.47%,0.4490,85.26%,
ResNet18 (Baseline),25,0.3615,87.73%,0.5084,83.24%,
ResNet18 (Baseline),26,0.3582,87.79%,0.5764,80.99%,
ResNet18 (Baseline),27,0.3574,87.85%,0.5146,83.17%,
ResNet18 (Baseline),28,0.3551,87.90%,0.4760,84.09%,
ResNet18 (Baseline),29,0.3474,87.93%,0.5483,82.33%,
ResNet18 (Baseline),30,0.3489,87.86%,0.4255,86.20%,
ResNet18 (Baseline),31,0.3442,88.26%,0.4663,84.19%,
ResNet18 (Baseline),32,0.3403,88.39%,0.5077,82.95%,
ResNet18 (Baseline),33,0.3367,88.57%,0.4804,84.37%,
ResNet18 (Baseline),34,0.3332,88.50%,0.5897,81.54%,
ResNet18 (Baseline),35,0.3301,88.79%,0.5107,82.63%,
ResNet18 (Baseline),36,0.3347,88.53%,0.6024,80.19%,
ResNet18 (Baseline),37,0.3271,88.91%,0.5006,84.00%,
ResNet18 (Baseline),38,0.3328,88.51%,0.5477,82.36%,
ResNet18 (Baseline),39,0.3212,88.99%,0.4811,84.45%,
ResNet18 (Baseline),40,0.3224,88.95%,0.4610,84.79%,
ResNet18 (Baseline),41,0.3256,88.94%,0.4052,86.62%,
ResNet18 (Baseline),42,0.3185,89.28%,0.4428,85.47%,
ResNet18 (Baseline),43,0.3185,89.12%,0.4730,84.46%,
ResNet18 (Baseline),44,0.3127,89.40%,0.3988,86.33%,
ResNet18 (Baseline),45,0.3089,89.58%,0.4232,86.18%,
ResNet18 (Baseline),46,0.3098,89.35%,0.6433,79.92%,
ResNet18 (Baseline),47,0.3059,89.63%,0.5074,84.12%,
ResNet18 (Baseline),48,0.3103,89.44%,0.4609,85.03%,
ResNet18 (Baseline),49,0.3005,89.66%,0.4786,84.56%,
ResNet18 (Baseline),50,0.3025,89.76%,0.6116,80.59%,
ResNet18 (Baseline),51,0.2952,89.92%,0.5259,83.75%,
ResNet18 (Baseline),52,0.3021,89.57%,0.6155,81.55%,
ResNet18 (Baseline),53,0.2953,90.09%,0.4708,84.40%,
ResNet18 (Baseline),54,0.2971,89.91%,0.4847,84.05%,
ResNet18 (Baseline),55,0.2867,90.28%,0.4942,84.57%,
ResNet18 (Baseline),56,0.2905,90.12%,0.4480,85.00%,
ResNet18 (Baseline),57,0.2888,90.19%,0.4222,86.10%,
ResNet18 (Baseline),58,0.2848,90.26%,0.6402,80.34%,
ResNet18 (Baseline),59,0.2842,90.34%,0.5218,83.52%,
ResNet18 (Baseline),60,0.2824,90.34%,0.5268,83.47%,
ResNet18 (Baseline),61,0.2827,90.39%,0.4647,85.20%,
ResNet18 (Baseline),62,0.2796,90.58%,0.4795,84.64%,
ResNet18 (Baseline),63,0.2742,90.59%,0.4604,85.10%,
ResNet18 (Baseline),64,0.2744,90.75%,0.4007,86.87%,
ResNet18 (Baseline),65,0.2747,90.70%,0.3853,86.93%,
ResNet18 (Baseline),66,0.2673,90.96%,0.4039,86.88%,
ResNet18 (Baseline),67,0.2683,90.80%,0.4543,85.83%,
ResNet18 (Baseline),68,0.2631,90.99%,0.3375,88.49%,
ResNet18 (Baseline),69,0.2677,90.88%,0.4607,85.50%,
ResNet18 (Baseline),70,0.2585,91.15%,0.4377,85.83%,
ResNet18 (Baseline),71,0.2571,91.14%,0.4542,85.31%,
ResNet18 (Baseline),72,0.2623,91.08%,0.3832,87.17%,
ResNet18 (Baseline),73,0.2579,91.13%,0.4121,86.52%,
ResNet18 (Baseline),74,0.2530,91.42%,0.5415,82.95%,
